 ;CO_UNIDADE;CO_UF;CO_IBGE;NU_CNPJ_MANTENEDORA;NO_RAZAO_SOCIAL;NO_FANTASIA;CO_NATUREZA_ORGANIZACAO;DS_NATUREZA_ORGANIZACAO;TP_GESTAO;CO_NIVEL_HIERARQUIA;DS_NIVEL_HIERARQUIA;CO_ESFERA_ADMINISTRATIVA;DS_ESFERA_ADMINISTRATIVA;CO_ATIVIDADE;TP_UNIDADE;CO_CEP;NO_LOGRADOURO;NU_ENDERECO;NO_BAIRRO;NU_TELEFONE;NU_LATITUDE;NU_LONGITUDE;CO_TURNO_ATENDIMENTO;DS_TURNO_ATENDIMENTO;NU_CNPJ;NO_EMAIL;CO_NATUREZA_JUR;ST_CENTRO_CIRURGICO;ST_CENTRO_OBSTETRICO;ST_CENTRO_NEONATAL;ST_ATEND_HOSPITALAR;ST_SERVICO_APOIO;ST_ATEND_AMBULATORIAL;CO_MOTIVO_DESAB;CO_AMBULATORIAL_SUS
40282;3551000040282;35;355100;;RADICOM SERVICOS DE APOIO AS EMPRESAS S S LTDA;RADICOM SAO VICENTE;;;M;;;M ;MUNICIPAL;04;39;11310040;PADRE ANCHIETA;224;CENTRO;13 34811671;-239.682.150.567;-463.849.854.469;03;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;26659101000162;ESCRITORIOPG@HOTMAIL.COM;2240;0.0;0.0;0.0;0.0;1.0;0.0;;NAO
116327;3551000116327;35;355100;46177523000109;MUNICIPIO DE SAO VICENTE;CENTRO DE COMBATE AO CORONAVIRUS DE SAO VICENTE;;;M;;;M ;MUNICIPAL;04;2;11310050;RUA JOAO RAMALHO;1150;CENTRO;1334662962;-23.963.294;-46.387.726;03;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;;cccoronavirussv@hotmail.com;1244;0.0;0.0;0.0;0.0;1.0;0.0;10;SIM
219142;3551000219142;35;355100;;CLINICA MULT IMAGEM LTDA;CLINICA MULT IMAGEM SAO VICENTE;;;M;;;M ;MUNICIPAL;04;39;11310061;RUA FREI GASPAR;790;CENTRO;1332286700;-23.964.822;-46.386.613;03;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;64714181001253;credenciamento@multimagem.med.br;2062;0.0;0.0;0.0;0.0;1.0;0.0;;NAO
269093;3551000269093;35;355100;;LEANDRO DE LIMA GIACCHERI;LEANDRO DE LIMA GIACCHERI SAO VICENTE;;;M;;;M ;MUNICIPAL;04;22;11310071;RUA JACOB EMERICK;365;CENTRO;13988222244;-23.967.809;-46.385.047;03;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;24862645000100;LEANDROGIACCHERI@HOTMAIL.COM;2135;0.0;0.0;0.0;0.0;1.0;0.0;10;NAO
270679;3551000270679;35;355100;;ALCYR NOGUEIRA LIMA;ALCYR NOGUEIRA LIMA SAO VICENTE;;;M;;;M ;MUNICIPAL;04;22;11310061;RUA FREI GASPAR;931;CENTRO;;-23.964.591;-46.388.623;03;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;;CONSULTORIOGINECOLOGIA1@OUTLOOK.COM;4000;0.0;0.0;0.0;0.0;1.0;0.0;;NAO
398675;3551000398675;35;355100;;RMIC IMAGENS DE DIAGNOSTICOS LTDA;RMIC IMAGENS DE DIAGNOSTICOS SAO VICENTE;;;M;;;M ;MUNICIPAL;04;39;11310060;RUA FREI GASPAR;637;CENTRO;1333711098;-23.966.127;-46.385.701;03;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;12932854000195;;2062;0.0;0.0;0.0;0.0;1.0;0.0;;NAO
420700;3551000420700;35;355100;;RENATA GUELLI FARIA EIRELI;CONSULTORIO DRA RENATA GUELLI SAO VICENTE;;;M;;;M ;MUNICIPAL;04;22;11310400;RUA XV DE NOVEMBRO;576;CENTRO;1334673793;-23.963.755;-46.385.414;03;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;37307316000130;LEGALIZACAO@CONTABILIDADE.COM.BR;2062;0.0;0.0;0.0;0.0;1.0;0.0;;NAO
447455;3551000447455;35;355100;46177523000109;MUNICIPIO DE SAO VICENTE;CENTRAL MUNICIPAL DE REDE DE FRIO SAO VICENTE;;;M;;;M ;MUNICIPAL;04;84;11310040;RUA PADRE ANCHIETA;462;CENTRO;1335695700;-239.665.239.076;-463.838.911.057;03;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;;IMUNIZACAO@SAUDESAOVICENTE.SP.GOV.BR;1244;0.0;0.0;0.0;0.0;0.0;0.0;;SIM
786098;3551000786098;35;355100;;EMPREENDIMENTOS PAGUE MENOS S A;FARMACIA PAGUE MENOS SAO VICENTE;;;M;;;M ;MUNICIPAL;04;43;11320000;AV PRESIDENTE WILSON;706;CENTRO;1334664339;-239.682.455.033;-463.754.039.034;04;ATENDIMENTO NOS TURNOS DA MANHA, TARDE E NOITE;06626253004815;emp48@pmenos.com.br;2046;0.0;0.0;0.0;0.0;1.0;0.0;;NAO
874310;3551000874310;35;355100;;MONICA BATALHA PRADO CLINICA MEDICA LTDA;MONICA BATALHA PRADO SAO VICENTE;;;M;;;M ;MUNICIPAL;04;22;11320000;AV PRESIDENTE WILSON;1473;CENTRO;1334662803;-239.652.812.665;-463.821.235.299;04;ATENDIMENTO NOS TURNOS DA MANHA, TARDE E NOITE;29090829000104;dramonicaprado@hotmail.com;2062;0.0;0.0;0.0;0.0;1.0;0.0;;NAO
1083015;3551001083015;35;355100;;TOXICOLOGICO SAO VICENTE LTDA;TOXICOLOGICO SAO VICENTE;;;M;;;M ;MUNICIPAL;04;39;11310000;BARAO DO RIO BRANCO;94;CENTRO;13 96933033;-23.966.440.575;-463.860.958.815;03;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;49958696000152;TOXICOLOGICOS.SV@GMAIL.COM;2062;0.0;0.0;0.0;0.0;0.0;0.0;;NAO
1083953;3551001083953;35;355100;;EXAMAXI POSTO DE COLETA LABORATORIAL CNPJ 49870513000223;MAXI EXAMES;;;M;;;M ;MUNICIPAL;04;22;11310070;R JACOB EMERICK;365;CENTRO;(13) 3467-9303;-239.671.768;-463.858.775;03;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;;MAXIEXAMES.SV@GMAIL.COM;2062;0.0;0.0;0.0;0.0;0.0;0.0;08;NAO
1162063;3551001162063;35;355100;;TAMARA MACHADO FRACALANZA BOCCATELLI;TAMARA MACHADO FRACALANZA BOCCATELLI;;;M;;;M ;MUNICIPAL;04;22;11320010;AVENIDA QUINTINO BOCAIUVA;405;CENTRO;;-23.967.568.011;-463.846.850.395;03;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;;;4000;0.0;0.0;0.0;0.0;0.0;0.0;;NAO
2031906;3551002031906;35;355100;;INSTITUTO ORTOPEDICO ITARARE LTDA;INSTITUTO ORTOPEDICO ITARARE SAO VICENTE;;;M;;;M ;MUNICIPAL;04;36;11320920;AV PRESIDENTE WILSON;1340;CENTRO;(13)34681550;-23.965.492;-46.380.825;03;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;46786778000179;;2062;0.0;0.0;0.0;0.0;1.0;0.0;;NAO
2035251;3551002035251;35;355100;46177523000109;MUNICIPIO DE SAO VICENTE;SERVICO DE PERICIAS MEDICAS SAO VICENTE;;;M;;;M ;MUNICIPAL;04;22;11310010;RUA FREI GASPAR;637;CENTRO;(13)34677333;-23.966.083;-4.638.569;03;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;;;1244;0.0;0.0;0.0;0.0;1.0;0.0;;NAO
2039222;3551002039222;35;355100;46177523000109;MUNICIPIO DE SAO VICENTE;CTA BETINHO SAO VICENTE;;;M;;;M ;MUNICIPAL;04;36;11320010;AV QUINTINO BOCAIUVA;1261;CENTRO;(13)34698522;-23.967.086;-46.387.824;03;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;;ctabetinho@saudesaovicente.sp.gov.br;1244;0.0;0.0;0.0;0.0;1.0;0.0;10;SIM
2039230;3551002039230;35;355100;46177523000109;MUNICIPIO DE SAO VICENTE;SECRETARIA DE SAUDE DE SAO VICENTE;;;M;;;M ;MUNICIPAL;04;68;11310040;RUA PADRE ANCHIETA;462;CENTRO;(13)35695700;-23.966.264;-46.383.546;03;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;;;1244;;;;;0.0;0.0;;SIM
2040190;3551002040190;35;355100;46177523000109;MUNICIPIO DE SAO VICENTE;COMPLEXO DE ESPECIALIDADES MEDICAS SAO VICENTE;;;M;;;M ;MUNICIPAL;04;4;11310400;RUA XV DE NOVEMBRO;176;CENTRO;(13)34650900;-239.670.484.113;-463.869.380.951;03;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;;cespsv@yahoo.com.br;1244;0.0;0.0;0.0;0.0;1.0;0.0;;SIM
2050293;3551002050293;35;355100;;LABORATORIO DR SERGIO TAVOLARO PEREIRA LTDA;LABORATORIO DR SERGIO TAVOLARO PEREIRA SAO VICENTE;;;M;;;M ;MUNICIPAL;04;39;11310050;RUA JOAO RAMALHO;825;CENTRO;(13)34688696;-239.649.502.627;-463.855.295.034;04;ATENDIMENTO NOS TURNOS DA MANHA, TARDE E NOITE;02055422000190;labtavolaro@hotmail.com;2062;0.0;0.0;0.0;0.0;1.0;0.0;;NAO
2050307;3551002050307;35;355100;;H M SCHIAVO SCHIAVO LTDA ME;SAO PEDRO ANALISES CLINICAS SAO VICENTE;;;M;;;M ;MUNICIPAL;04;39;11310420;RUA IPIRANGA;4;CENTRO;(13)34673124;;;02;ATENDIMENTO SOMENTE A TARDE;69336972000158;;2062;;;;;1.0;0.0;04;NAO
2054183;3551002054183;35;355100;;OPHTALMOCLINICA DR CADMO GUSMAO E DR FILIPE GUSMAO LTDA;INSTITUTO OFTALMOLOGICO ACCIOLY DE GUSMAO SAO VICENTE;;;M;;;M ;MUNICIPAL;04;62;11320060;RUA AMADOR BUENO DA RIBEIRA;68;CENTRO;13 35695555;-23.966.794;-46.377.159;03;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;01409949000102;cadmoft@uol.com.br;2062;0.0;0.0;0.0;0.0;1.0;0.0;;NAO
2055236;3551002055236;35;355100;;CLINICA DE ORTOPEDIA E FISIOTERAPIA PADRE ANCHIETA;CLINICA PADRE ANCHIETA SAO VICENTE;;;M;;;M ;MUNICIPAL;04;62;11320000;AV PRESIDENTE WILSON;1136;CENTRO;(13)34682829;-23.965.742;-46.379.113;03;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;55671689000178;financeiro@clinicapadreanchieta.com.br;2062;1.0;0.0;0.0;1.0;1.0;1.0;;NAO
2055244;3551002055244;35;355100;;CLINICA MEDICA LABORT E RAD DR JOSE MARTINS FONTES;CLINICA MEDICA DR JOSE MARTINS FONTES SAO VICENTE;;;M;;;M ;MUNICIPAL;04;36;11310420;RUA IPIRANGA;S/N;CENTRO;(13)34684848;;;04;ATENDIMENTO NOS TURNOS DA MANHA, TARDE E NOITE;71551477000103;bezerrajunior@ig.com.br;2000;0.0;0.0;0.0;0.0;1.0;0.0;04;NAO
2060167;3551002060167;35;355100;;UNIDADE MEDICA SAO VICENTE LTDA;UNIDADE MEDICA SAO VICENTE SAO VICENTE;;;M;;;M ;MUNICIPAL;04;36;11310420;RUA IPIRANGA;28;CENTRO;(13)34682861;;;03;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;46790317000170;;2062;0.0;0.0;0.0;0.0;1.0;0.0;04;NAO
2074001;3551002074001;35;355100;;CLINICA CASSIO RUBENS E RAMALHO SC LTDA;CLINICA SAO VICENTE RAMALHO DIAGNOSES SAO VICENTE;;;M;;;M ;MUNICIPAL;04;4;11310421;RUA IPIRANGA;31;CENTRO;(13)34673526;;;03;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;49173206000102;;2062;0.0;0.0;0.0;0.0;1.0;0.0;06;NAO
2080729;3551002080729;35;355100;;IRMANDADE HOSP SAO JOSE STA CASA DE MISERICORDIA S VICENTE;HOSPITAL SAO JOSE SAO VICENTE;;;M;;;M ;MUNICIPAL;04;5;11310061;RUA FREI GASPAR;790;CENTRO;1330489488;-23.965.168;-46.386.657;06;ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS);45077492000151;hospitalsaojosesv@uol.com.br;3999;1.0;1.0;1.0;1.0;1.0;1.0;;NAO
2084775;3551002084775;35;355100;46177523000109;MUNICIPIO DE SAO VICENTE;SAE CTA SERVICO DE ATENDIMENTO ESPECIALIZADO SAO VICENTE;;;M;;;M ;MUNICIPAL;04;36;11320010;AV QUINTINO BOCAIUVA;1261;CENTRO;(13)35693500;-2.396.935;-46.383.804;03;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;;;1244;0.0;0.0;0.0;0.0;1.0;0.0;;SIM
2839245;3551002839245;35;355100;;OZORES PEIXOTO POSTO DE COLETA LABORATORIAL LTDA;MAXILABOR SAO VICENTE;;;M;;;M ;MUNICIPAL;04;39;11310070;R JACOB EMERICK;365;CENTRO;1334679303;-239.682.703;-463.837.073;03;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;31520624000244;saovicente@maxilabor.com.br;2062;0.0;0.0;0.0;0.0;0.0;0.0;10;NAO
2845261;3551002845261;35;355100;;EDUARDO OREFICE FERREIRA;EDUARDO OREFICE SAO VICENTE;;;M;;;M ;MUNICIPAL;04;22;11320001;AV PRESIDENTE WILSON;1473;CENTRO;1334694909;-239.645.689;-463.833.532;03;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;;dreduardoorefice@gmail.com;4000;0.0;0.0;0.0;0.0;1.0;0.0;;NAO
2853647;3551002853647;35;355100;;FARMACIA INTEGRADA FELIX RIBEIRO E RIBEIRO EIRELI;FARMACIA DE MANIPULACAO LEVEN SAO VICENTE;;;M;;;M ;MUNICIPAL;04;43;11310071;R JACOB EMERICK;393;CENTRO;1333299800;-239.682.703;-463.837.073;03;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;07664275000250;FARMA_JACOB@LEVEN.COM.BR;2062;0.0;0.0;0.0;0.0;0.0;0.0;;NAO
2883902;3551002883902;35;355100;;ALESSANDRO PERUSSI GARCIA OFTALMOLOGIA;LASER PERUSSI SAO VICENTE;;;M;;;M ;MUNICIPAL;04;22;11310061;RUA FREI GASPAR;637;CENTRO;1334668609;-239.551.384;-464.069.904;03;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;12317258000103;PERUSSICARVALHO.OFTALMOLOGIA@GMAIL.COM;2062;0.0;0.0;0.0;0.0;1.0;0.0;;NAO
2885182;3551002885182;35;355100;;ANDERSON DE SOUZA OLIVEIRA ODONTOLOGIA;ORTHO DENTS SAO VICENTE;;;M;;;M ;MUNICIPAL;04;22;11310040;RUA PADRE ANCHIETA;306;CENTRO;13996868038;-239.658.382;-46.383.568;04;ATENDIMENTO NOS TURNOS DA MANHA, TARDE E NOITE;27308244000192;ANDERSON_21@HOTMAIL.COM;2135;0.0;0.0;0.0;0.0;1.0;0.0;;NAO
2952467;3551002952467;35;355100;;LABORATORIO PAULISTA DE ANALISES CLINICA LTDA;LABORATORIO PAULISTA SAO VICENTE;;;M;;;M ;MUNICIPAL;04;39;11310421;RUA IPIRANGA;17;CENTRO;1333564011;-239.651.071;-463.874.308;03;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;51679439000395;FAT.ANATOMIA@TERRA.COM.BR;2240;0.0;0.0;0.0;0.0;0.0;0.0;;SIM
2956519;3551002956519;35;355100;;FALCONERES DE ALMEIDA OFTALMOLOGIA E MEDICINA S S LTDA;FALCONERES DE ALMEIDA OFTALMOLOGIA E MEDICINA SV;;;M;;;M ;MUNICIPAL;04;22;11310400;RUA QUINZE DE NOVEMBRO;576;CENTRO;1338770177;-239.631.703;-463.852.566;03;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;09553051000468;falconeresoftalmologia@gmail.com;2240;0.0;0.0;0.0;0.0;1.0;0.0;;NAO
3058190;3551003058190;35;355100;;INSTITUTO SEGUMED;INSTITUTO SEGUMED UNIDADE SAO VICENTE;;;M;;;M ;MUNICIPAL;04;36;11310400;FREI GASPAR;790;CENTRO;1334666323;-239.650.220.449;-463.864.726.161;04;ATENDIMENTO NOS TURNOS DA MANHA, TARDE E NOITE;29578473001205;contato@institutosegumed.org.br;3999;0.0;0.0;0.0;0.0;1.0;0.0;;SIM
3075176;3551003075176;35;355100;;OMEGA3 LABORATORIO DE ANALISES CLINICAS EIRELI;OMEGA3 LABORATORIO DE ANALISES CLINICAS SAO VICENTE;;;M;;;M ;MUNICIPAL;04;39;11310060;RUA FREI GASPAR;299;CENTRO;1335795694;-239.681.374.648;-463.818.353;03;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;19739083000163;OMEGA3LAB@GMAIL.COM;2062;0.0;0.0;0.0;0.0;1.0;0.0;;NAO
3118754;3551003118754;35;355100;;CARLOS ROBERTO VILAR SILVA;CARLOS VILAR SAO VICENTE;;;M;;;M ;MUNICIPAL;04;22;11320001;AV PRESIDENTE WILSON;1473;CENTRO;34672310;-239.653.768.547;-463.820.296.526;03;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;;;4000;0.0;0.0;0.0;0.0;1.0;0.0;;NAO
3161668;3551003161668;35;355100;;VIVIANE AGUIAR YUMOTO FRIAS LTDA;VIVIANE AGUIAR YUMOTO FRIAS SAO VICENTE;;;M;;;M ;MUNICIPAL;04;22;11310500;BENJAMIN CONSTANT;74;CENTRO;13 97217474;-239.635.386.461;-46.384.557.061;03;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;54164217000166;VIVI.YUMOTO@GMAIL.COM;2062;0.0;0.0;0.0;0.0;1.0;0.0;;NAO
3177955;3551003177955;35;355100;;CLINICA MEDICA LIMA DIAS LTDA;CLINICA MEDICA LIMA DIAS SAO VICENTE;;;M;;;M ;MUNICIPAL;04;22;11320915;PRESIDENTE WILSON;1473;CENTRO;13 34693985;-239.653.204.822;-463.820.162.416;03;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;05254741000112;JUSMAR@BORGESCONTABIL.COM;2240;0.0;0.0;0.0;0.0;1.0;0.0;;NAO
3279022;3551003279022;35;355100;;ACADEMIA DE MEDICINA FISICA E REABILITACAO DESAO VICENTE;ACADEMIA DE MEDICINA FISICA E REABILITACAO DE SAO VICENTE;;;M;;;M ;MUNICIPAL;04;36;11310420;SAO VICENTE;62;CENTRO;;;;04;ATENDIMENTO NOS TURNOS DA MANHA, TARDE E NOITE;02125020000114;;2062;0.0;0.0;0.0;0.0;0.0;0.0;10;NAO
3279146;3551003279146;35;355100;;ANTONIO E M CURADO;ANTONIO E M CURADO SAO VICENTE;;;M;;;M ;MUNICIPAL;04;22;11310061;R FREI GASPAR;86;CENTRO;;;;03;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;;;4000;0.0;0.0;0.0;0.0;1.0;0.0;06;NAO
3279189;3551003279189;35;355100;;CLINICA MEDICA BOA VISTA SC LTDA;CLINICA MEDICA BOA VISTA SAO VICENTE;;;M;;;M ;MUNICIPAL;04;36;11310330;RUA TREZE DE MAIO;336;CENTRO;(13)34686421;-239.664.847;-463.901.835;03;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;02661037000196;medboavista@hotmail.com;2062;0.0;0.0;0.0;0.0;1.0;0.0;;NAO
3279197;3551003279197;35;355100;;CLINICA DE FISIOTERAPIA RENASCER SANTA ISABEL LTDAME;CLINICA RENASCER SAO VICENTE;;;M;;;M ;MUNICIPAL;04;36;11310200;AV CAPITAO MOR AGUIAR;445;CENTRO;(13)34676133;-239.672.683.371;-46.391.927.261;03;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;05220445000109;fisiorenascer@gmail.com;2062;0.0;0.0;0.0;0.0;1.0;0.0;;NAO
3310396;3551003310396;35;355100;;FOCUS CLINICA OFTAMOLOGICA LTDA;FOCUS CLINICA OFTAMOLOGICA SAO VICENTE;;;M;;;M ;MUNICIPAL;04;36;11310040;RUA XV DE NOVEMBRO;576;CENTRO;(13)34695056;-23.965.002;-46.385.567;03;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;00612803000105;focusclinica@focusclinica.com;2240;0.0;0.0;0.0;0.0;1.0;0.0;;NAO
3321916;3551003321916;35;355100;;LABORATORIO ANALISES MED DR JOSE RODRIGUES SS LTDA;LABORATORIO ANALISES MED DR JOSE RODRIGUES SAO VICENTE;;;M;;;M ;MUNICIPAL;04;39;11310421;RUA IPIRANGA;321;CENTRO;(13)34683057;;;03;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;49958275000121;;2240;0.0;0.0;0.0;0.0;1.0;0.0;08;NAO
3330060;3551003330060;35;355100;;CELSO DA SILVA NORONHA;CELSO DA SILVA NORONHA SAO VICENTE;;;M;;;M ;MUNICIPAL;04;22;11320120;RUA FREI GASPAR;739;CENTRO;(13)34689587;-239.656.072.465;-463.865.947.723;03;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;;;4000;0.0;0.0;0.0;0.0;1.0;0.0;;NAO
3330273;3551003330273;35;355100;;ROBERTO DI GIOVANNI VERGARA;ROBERTO DI GIOVANNI VERGARA SAO VICENTE;;;M;;;M ;MUNICIPAL;04;22;11310061;RUA FREI GASPAR;305;CENTRO;(13)34673042;;;03;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;;;4000;0.0;0.0;0.0;0.0;1.0;0.0;06;NAO
3330508;3551003330508;35;355100;;ROGERIA RITA DE CASSIA PALMA;ROGERIA RITA DE CASSIA PALMA SAO VICENTE;;;M;;;M ;MUNICIPAL;04;22;11310061;RUA FREI GASPAR;739;CENTRO;(13)34684853;-239.656.121.484;-463.867.074.251;03;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;23108296000164;rogeria.rita@hotmail.com;2135;0.0;0.0;0.0;0.0;1.0;0.0;;NAO
